held_out,model,reject_quantile,reject_policy,reject_rate_heldout,reject_rate_clean,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean
Smoke,D_mlp,5,alarm,0.22808349146110057,0.09050632911392405,0.051233396584440226,0.05941161353062882,0.9487666034155599,0.05941161353062883,0.0
Smoke,D_mlp,10,monitor,0.35597722960151795,0.16645569620253164,0.37672359266287153,0.3592699842127439,0.6232764073371284,0.359269984212744,0.0
Smoke,D_mlp,10,alarm,0.35597722960151795,0.16645569620253164,0.020746363061353572,0.03459413461887354,0.9792536369386464,0.03459413461887357,0.0
Smoke,D_mlp,20,monitor,0.6274509803921569,0.3240506329113924,0.6321315623023402,0.34693300744819155,0.3678684376976597,0.3469330074481916,0.0
Smoke,D_mlp,20,alarm,0.6274509803921569,0.3240506329113924,0.004680581910183428,0.009361163820366857,0.9953194180898166,0.009361163820366869,0.0
Smoke,D_mlp,30,monitor,0.7572422517394054,0.4670886075949367,0.7578747628083492,0.3652604162842605,0.24212523719165086,0.3652604162842604,0.0
Smoke,D_mlp,30,alarm,0.7572422517394054,0.4670886075949367,0.0006325110689437065,0.001265022137887413,0.9993674889310563,0.0012650221378874172,0.0
Smoke,E_gbm,0,monitor,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,0,alarm,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,5,monitor,0.0,0.18417721518987343,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,5,alarm,0.0,0.18417721518987343,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,10,monitor,0.0,0.4816455696202532,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,10,alarm,0.0,0.4816455696202532,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,20,monitor,0.0,0.7835443037974683,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,20,alarm,0.0,0.7835443037974683,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,30,monitor,0.0,0.9158227848101266,0.0,0.0,1.0,0.0,0.0
Smoke,E_gbm,30,alarm,0.0,0.9158227848101266,0.0,0.0,1.0,0.0,0.0
Smoke,SVM,0,monitor,0.0,0.0,0.004680581910183428,0.0027013480713551706,0.9476280834914611,0.01617745209445297,0.04769133459835547
Smoke,SVM,0,alarm,0.0,0.0,0.004680581910183428,0.0027013480713551706,0.9476280834914611,0.01617745209445297,0.04769133459835547
Smoke,SVM,5,monitor,0.12662871600253003,0.13037974683544304,0.12662871600253003,0.014770995660893349,0.8605945604048071,0.018680398199659,0.012776723592662872
Smoke,SVM,5,alarm,0.12662871600253003,0.13037974683544304,0.0,0.0,0.987223276407337,0.004278693112027261,0.012776723592662872
Smoke,SVM,10,monitor,0.18026565464895636,0.22025316455696203,0.18026565464895636,0.02001375368688027,0.8149272612270716,0.02100317745095034,0.00480708412397217
Smoke,SVM,10,alarm,0.18026565464895636,0.22025316455696203,0.0,0.0,0.995192915876028,0.0028735779105883937,0.00480708412397217
Smoke,SVM,20,monitor,0.4872865275142315,0.42405063291139244,0.4872865275142315,0.1792057346752659,0.5127134724857685,0.17920573467526593,0.0
Smoke,SVM,20,alarm,0.4872865275142315,0.42405063291139244,0.0,0.0,1.0,0.0,0.0
Smoke,SVM,30,monitor,0.821505376344086,0.6158227848101265,0.821505376344086,0.10694219126531436,0.178494623655914,0.10694219126531433,0.0
Smoke,SVM,30,alarm,0.821505376344086,0.6158227848101265,0.0,0.0,1.0,0.0,0.0
Smoke,RF,0,monitor,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smoke,RF,0,alarm,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smoke,RF,5,monitor,0.009487666034155597,0.07848101265822785,0.009487666034155597,0.011662927839712697,0.9905123339658445,0.01166292783971268,0.0
Smoke,RF,5,alarm,0.009487666034155597,0.07848101265822785,0.0,0.0,1.0,0.0,0.0
Smoke,RF,10,monitor,0.16318785578747627,0.26582278481012656,0.16318785578747627,0.18020017231159619,0.8368121442125238,0.18020017231159619,0.0
Smoke,RF,10,alarm,0.16318785578747627,0.26582278481012656,0.0,0.0,1.0,0.0,0.0
Smoke,RF,20,monitor,0.9755850727387729,0.8468354430379748,0.9755850727387729,0.04013052200712916,0.02441492726122707,0.040130522007129146,0.0
Smoke,RF,20,alarm,0.9755850727387729,0.8468354430379748,0.0,0.0,1.0,0.0,0.0
Smoke,RF,30,monitor,1.0,0.9905063291139239,1.0,0.0,0.0,0.0,0.0
Smoke,RF,30,alarm,1.0,0.9905063291139239,0.0,0.0,1.0,0.0,0.0
Smoke,KNN,0,monitor,0.0,0.0,0.012650221378874133,0.00797064339128317,0.9437065148640101,0.0037526621060572575,0.04364326375711575
Smoke,KNN,0,alarm,0.0,0.0,0.012650221378874133,0.00797064339128317,0.9437065148640101,0.0037526621060572575,0.04364326375711575
Smoke,KNN,5,monitor,0.017204301075268817,0.0620253164556962,0.024667931688804552,0.010048767670201393,0.9380139152435168,0.0032987741455800935,0.03731815306767868
Smoke,KNN,5,alarm,0.017204301075268817,0.0620253164556962,0.007463630613535737,0.002241624939490114,0.9552182163187855,0.009212974803811818,0.03731815306767868
Smoke,KNN,10,monitor,0.029222011385199243,0.12848101265822787,0.036053130929791274,0.010245898409268355,0.9316888045540797,0.0032987741455801148,0.03225806451612903
Smoke,KNN,10,alarm,0.029222011385199243,0.12848101265822787,0.00683111954459203,0.001715959515022206,0.960910815939279,0.00826050738384037,0.03225806451612903
Smoke,KNN,20,monitor,0.0370651486401012,0.14936708860759493,0.04288425047438331,0.008241111941759562,0.9276407337128401,0.004760249898096601,0.02947501581277672
